token_id,token,sim_technology,sim_medicine,sim_sports,sim_politics,sim_science,sim_philosophy,sim_entertainment,sim_finance,sim_history
31474,obil,0.1677,0.0156,0.1603,0.1628,0.1209,0.0332,0.0043,0.0563,0.1265
673,O,-0.0493,0.0473,-0.0249,-0.0472,-0.0452,0.0556,0.0411,0.0167,-0.0717
36321,rians,0.1799,0.0235,0.1591,0.1736,0.1652,0.0623,0.0231,0.0334,0.1569
37641,shift,0.1518,-0.0064,0.1497,0.165,0.1468,0.0504,0.0307,0.0429,0.1314
15014,ĠSunni,0.1063,0.0285,0.107,0.0828,0.111,0.0516,0.0419,0.0638,0.0954
5393,Ġexplore,0.0761,0.0314,0.0589,0.0673,0.0723,0.0494,0.0709,0.075,0.0864
22834,Ġmotives,0.1255,0.0666,0.0959,0.1418,0.1046,0.0631,0.0291,0.0289,0.1216
38685,Ġastroph,0.1844,0.0593,0.1775,0.1926,0.2647,0.1016,0.0772,0.1415,0.1512
33251,ĠPsych,0.0735,0.0293,0.061,0.0821,0.1236,0.0853,0.0473,0.0435,0.0995
1069,ri,-0.0176,0.0338,0.0172,0.0173,0.0174,0.0232,0.0503,0.0095,0.0032
39529,Ġsaints,0.092,0.0234,0.1461,0.0799,0.1045,0.04,0.0111,0.0345,0.1245
15983,Ġok,-0.0029,0.0476,0.0275,0.0289,0.0346,0.0066,0.0644,0.024,0.0352
45247,ĠCOUR,0.1642,0.0463,0.1612,0.1742,0.168,0.0693,0.0209,0.0542,0.1595
5298,Ġsymptoms,0.0651,0.107,0.0817,0.0839,0.0741,0.0351,0.051,0.0111,0.0854
10222,Ġscary,0.0657,0.0953,0.0201,0.0416,0.0916,0.0428,0.0471,0.037,0.042
25356,NF,0.1184,0.0166,0.1218,0.1062,0.1113,0.0451,0.0423,0.0567,0.0886
22273,ĠFleming,0.1238,0.0534,0.0634,0.0767,0.1091,0.0723,0.0106,0.0593,0.1068
23733,oven,0.142,0.038,0.1182,0.1358,0.1433,0.0655,0.0346,0.0237,0.1246
14164,Ġblessing,0.0694,0.0372,0.0512,0.0634,0.0599,0.0564,0.0347,0.0081,0.0551
44887,modified,0.2125,0.0594,0.1615,0.1563,0.1787,0.0456,0.0206,0.0232,0.1636
47378,CPU,0.1594,0.0227,0.1552,0.1409,0.1705,0.0536,0.0144,0.0407,0.1512
14403,ppers,0.1442,0.0479,0.1158,0.1487,0.0968,0.0479,0.0027,0.025,0.1101
3753,Ġclick,-0.0322,0.0604,-0.0361,-0.0034,-0.0083,0.0265,0.0538,0.0078,-0.0138
30376,Ġexcerpt,0.1108,0.0334,0.0907,0.1077,0.1105,0.0276,0.0404,0.028,0.1394
46608,SQL,0.1501,0.0427,0.1627,0.1591,0.1354,0.0719,0.0095,0.065,0.171
41931,ĠParas,0.0703,0.0379,0.0996,0.1175,0.0795,0.0339,0.0132,0.0516,0.1398
37283,history,0.2299,0.0765,0.1971,0.2858,0.2339,0.1487,0.0238,0.0478,1.0
16925,175,0.0985,0.0445,0.0727,0.1262,0.1151,0.0322,0.0506,0.0438,0.0859
29987,RIP,0.1215,0.0364,0.0961,0.1169,0.1116,0.0412,0.0264,0.0457,0.1021
10044,Ġdisruption,0.1042,0.0576,0.0574,0.0678,0.0671,0.0402,0.0865,0.0836,0.0681
34294,Ġwipes,0.1234,0.0425,0.1074,0.1004,0.0998,0.0525,0.0381,0.0348,0.1153
2593,Ġcurrency,0.0736,0.1335,0.0253,0.0546,0.0264,0.0689,0.0979,0.1333,0.0388
16109,Ġnude,0.0594,0.0229,0.0745,0.0731,0.0398,0.036,0.0226,0.0295,0.0752
25172,Ġpil,0.0942,0.0726,0.0493,0.0643,0.0518,0.0733,0.0113,0.0489,0.0563
40158,Ġmultipl,0.0855,0.0514,0.0743,0.0651,0.0772,0.0276,0.0516,0.0359,0.0576
36141,Ġattrition,0.1785,0.0188,0.0852,0.1403,0.1664,0.0724,0.052,0.0263,0.1342
28385,ĠFukushima,0.1611,0.0431,0.1336,0.1552,0.1545,0.0305,0.0123,0.0553,0.1535
30708,Ġcarcin,0.158,0.0757,0.1454,0.1484,0.1613,0.0283,0.0263,0.0416,0.1502
6543,Ġsignature,-0.0109,0.0436,0.0122,0.0237,0.0005,0.0567,0.033,-0.0056,0.0025
3740,ĠHarris,0.0086,0.0186,0.0409,0.0218,0.0383,0.0304,0.0237,0.033,0.0633
47553,aptic,0.2014,0.0278,0.2094,0.1846,0.1964,0.0464,0.0015,0.0222,0.1459
30809,Ġdissip,0.1103,0.0388,0.1127,0.1223,0.1109,0.0496,0.0236,0.0373,0.1006
33118,UFC,0.1383,0.0277,0.2173,0.1579,0.1313,0.0581,0.0298,0.0366,0.1415
41703,knife,0.1774,0.0746,0.1378,0.1713,0.1624,0.0413,0.0065,0.0162,0.1683
42545,Ġchemically,0.1504,0.0542,0.1488,0.1307,0.1784,0.0331,-0.028,0.0173,0.1136
10343,Ġviolating,0.1016,0.0348,0.1133,0.0922,0.0929,0.0321,0.0407,0.0381,0.0936
6290,ĠSaints,0.0493,0.0238,0.0952,0.0755,0.0682,0.0335,0.0247,0.0114,0.0521
7148,ĠMug,0.0727,0.042,0.0883,0.0484,0.0493,0.0366,0.0253,0.024,0.0835
22851,ĠNah,0.0883,0.0491,0.0944,0.0651,0.0834,0.038,0.025,0.0394,0.0785
12544,Ġretained,0.0741,0.0211,0.0695,0.035,0.0659,0.055,0.0223,0.042,0.0684
