token_id,token,similarity,type
418,Ġmoney,0.2158,content
582,Ġpay,0.182,content
613,Ġfinancial,0.4316,content
629,Ġtax,0.1581,content
776,Ġeconomic,0.1518,content
827,Ġbank,0.1999,content
866,Ġeconomy,0.1539,content
867,Ġinvestors,0.1533,content
903,Ġrevenue,0.1762,content
915,Ġinvestment,0.1647,content
1055,Ġcash,0.1889,content
1126,Ġdebt,0.1981,content
1188,Ġfunds,0.2474,content
1229,Ġbudget,0.2099,content
1391,Ġfund,0.3026,content
1404,Ġdollar,0.1575,content
1425,Ġincome,0.1867,content
1435,Ġfunding,0.2761,content
1520,Ġbanks,0.1734,content
1911,Ġinsurance,0.1717,content
1932,Ġdollars,0.1589,content
2108,ĠFinancial,0.3104,content
2358,Ġfiscal,0.2479,content
2427,Ġjustice,0.1628,content
2541,Ġloan,0.1594,content
2556,Ġtaxes,0.1559,content
2746,Ġpaying,0.1634,content
2879,Ġfinance,1.0,content
2896,ĠFund,0.152,content
2973,Ġloans,0.1807,content
3081,Ġpayments,0.2285,content
3207,Ġpayment,0.1858,content
3454,Ġbanking,0.2604,content
3754,Ġinvest,0.1651,content
3942,Ġinvestor,0.1556,content
4090,ĠFinance,0.732,content
4240,Ġtransport,0.1905,content
4372,Ġcommunications,0.1528,content
4732,ĠTreasury,0.1992,content
4848,Ġinvesting,0.1752,content
5200,Ġfinancing,0.4813,content
5501,Ġmortgage,0.212,content
5775,Ġmonetary,0.2115,content
6140,Ġfunded,0.2006,content
6300,Ġagriculture,0.1818,content
6513,ĠFin,0.2667,content
6846,Ġaccounting,0.1706,content
6946,Ġlending,0.1502,content
7388,Ġbankruptcy,0.1508,content
7473,Ġeconomist,0.1608,content
7634,Ġpays,0.1577,content
8023,Ġfundraising,0.1658,content
8028,ĠMoney,0.1957,content
8379,Ġlenders,0.1981,content
8587,ĠBudget,0.1664,content
8746,Ġfin,0.1992,content
9083,Ġfinances,0.4648,content
9848,Ġaviation,0.1678,content
10007,Ġlender,0.1961,content
10492,Ġeconomics,0.2515,content
10575,Ġlogistics,0.1604,content
10625,Ġfinancially,0.3216,content
10984,Ġpayroll,0.1585,content
11652,Ġbudgets,0.1765,content
11856,funded,0.1778,content
12089,Ġcreditors,0.1662,content
12539,ĠBanking,0.1777,content
13432,Ġbankers,0.2253,content
13597,fin,0.2282,content
13598,inance,0.397,content
13632,Fund,0.1519,content
13715,Ġcommerce,0.2068,content
13904,Ġrepay,0.1557,content
14066,pay,0.1606,content
15573,Ġbanker,0.1893,content
17114,ĠFunds,0.1604,content
17479,money,0.1954,content
18732,Ġchancellor,0.1599,content
19081,Ġtreasury,0.2197,content
19392,ĠDebt,0.152,content
19578,Ġmonet,0.1735,content
19804,ĠPayPal,0.1771,content
20113,Ġsubsid,0.1936,content
20381,ĠFIN,0.2541,content
20959,Ġfinanced,0.3689,content
21601,Ġtreasurer,0.244,content
21859,ĠFunding,0.1897,content
22685,ĠTreasurer,0.186,content
23019,Ġfinan,0.4184,content
24408,Ġaccountant,0.216,content
24522,Pay,0.163,content
24556,Ġfundra,0.1616,content
24915,financial,0.3491,content
25256,Money,0.2125,content
25623,FIN,0.2068,content
27375,Ġbudgetary,0.17,content
28476,Ġpayday,0.1548,content
30253,ĠAccounting,0.1635,content
32800,ĠPAY,0.1779,content
32901,Ġcreditor,0.1531,content
34027,Fin,0.2427,content
35028,Financial,0.3231,content
13,Ġfor,,connector
24,Ġit,,connector
37,Ġhe,,connector
49,Ġtheir,,connector
58,Ġwere,,connector
69,Ġher,,connector
84,Ġour,,connector
96,ĠIn,,connector
114,Ġif,,connector
129,Ġonly,,connector
148,Ġduring,,connector
167,Ġthose,,connector
197,Ġshould,,connector
222,Ġdid,,connector
261,on,,connector
350,Ġtoo,,connector
393,Ġnever,,connector
429,Ġmight,,connector
520,ĠWhen,,connector
583,Ġnear,,connector
635,ĠHowever,,connector
700,he,,connector
874,Ġbelow,,connector
1060,Ġwhose,,connector
1216,ĠThese,,connector
1405,ĠHer,,connector
1534,ĠIs,,connector
1684,Ġbeyond,,connector
1747,Ġfinally,,connector
1892,ĠThen,,connector
2126,our,,connector
2290,ĠWill,,connector
2486,ĠYour,,connector
2615,ĠCan,,connector
2808,ĠIN,,connector
3139,ĠIts,,connector
3411,OR,,connector
3791,ĠThough,,connector
