token_id,token,similarity,type
474,Ġhealth,0.1867,content
689,Ġfood,0.1708,content
1098,Ġhospital,0.1807,content
1131,Ġmedical,0.3786,content
1262,Ġdrug,0.2246,content
1416,Ġtreatment,0.1598,content
1484,Ġpatients,0.2227,content
1668,Ġcancer,0.1521,content
2196,Ġdrugs,0.2413,content
2199,Ġdisease,0.2174,content
3012,Ġsurgery,0.245,content
3067,ĠMedical,0.2673,content
3186,Ġpatient,0.1957,content
3299,Ġdoctor,0.2603,content
3333,Ġdoctors,0.2886,content
3717,Ġhealthcare,0.277,content
4567,med,0.268,content
4815,Ġhospitals,0.2106,content
5066,ĠMed,0.233,content
5154,Ġclinical,0.19,content
5467,Ġillness,0.1938,content
5679,Ġmed,0.3171,content
5804,Ġtherapy,0.2565,content
6150,Ġmedicine,1.0,content
6357,Ġdiseases,0.1889,content
6825,Ġreligion,0.1699,content
7426,ĠMedicaid,0.1605,content
7704,Ġdiabetes,0.1555,content
7937,ĠPharmaceutical,0.1551,content
8029,ĠMedicine,0.6859,content
8289,Ġtreatments,0.1689,content
8375,Ġmagic,0.1565,content
8456,Ġmedication,0.4981,content
8474,Ġclinic,0.1641,content
8701,Ġnursing,0.1706,content
8999,ĠMedicare,0.1815,content
9008,Ġnurse,0.1816,content
9016,Ġpharmaceutical,0.2722,content
9243,Ġprescription,0.2218,content
9301,ĠHealthcare,0.1869,content
9726,Ġdiagnosis,0.1521,content
9937,Ġvaccine,0.1855,content
10633,Ġnurses,0.187,content
10894,Ġnutrition,0.1688,content
11593,Ġphysician,0.2707,content
11759,Ġhealing,0.2102,content
12102,Ġmedications,0.3794,content
12441,Ġmedicines,0.5869,content
12521,ĠDoctor,0.1565,content
13018,Ġphysicians,0.2687,content
13106,Ġpill,0.1543,content
13144,Ġliterature,0.1615,content
13306,Ġcure,0.2063,content
13866,Ġpills,0.229,content
14384,Ġheal,0.183,content
15288,Ġpharmacy,0.2434,content
15535,Ġsurgical,0.1654,content
16308,Ġsurgeon,0.19,content
16674,Ġantibiotics,0.1894,content
16968,Ġvaccines,0.1548,content
17712,Ġpoison,0.1568,content
17914,ĠPharma,0.1681,content
18441,Ġtherapeutic,0.2022,content
18559,Ġpediatric,0.1932,content
18962,Ġwarfare,0.1781,content
19391,Ġinsulin,0.1545,content
20183,Ġmeditation,0.1815,content
20400,Ġprescriptions,0.1995,content
20665,ĠPharm,0.1713,content
20687,Ġremedy,0.1977,content
21243,Med,0.2235,content
21890,Ġpharm,0.2227,content
22718,ĠMED,0.2597,content
24443,Ġveterinary,0.2138,content
24766,Ġherbs,0.1654,content
25231,Ġsickness,0.1564,content
25465,Ġantibiotic,0.1619,content
25646,Ġmediation,0.1531,content
25749,Ġmedically,0.2022,content
26413,ĠMedic,0.2908,content
26467,Ġmedic,0.3222,content
26552,Ġremedies,0.198,content
26578,Ġpharmac,0.205,content
27376,Ġmedicinal,0.3659,content
30868,Ġherbal,0.2009,content
30885,medical,0.3101,content
32653,MED,0.1815,content
34706,Ġtherape,0.1811,content
39096,Medic,0.3821,content
39620,Ġpsychiatry,0.2569,content
40394,Ġcures,0.1803,content
42024,Medical,0.2992,content
42413,Ġcuring,0.1579,content
43214,Ġhealer,0.1865,content
44016,Ġmedial,0.17,content
7,Ġto,,connector
16,Ġis,,connector
